common_name,scientific_name,plant_family,plant_type,climate_zones,growing_difficulty,space_required,sunlight_needs,water_needs,days_to_germination,days_to_harvest,perennial_annual,planting_months_sh,planting_months_nh,height_cm,spread_cm,native_region,description
Watercress,Nasturtium officinale,Brassicaceae,Perennial Vegetable,"Cfb,Cfa",Moderate,Small,Partial shade,Very high,7-14,60-70,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,15-30,30-60,Europe/Asia,Aquatic peppery green
Miner's Lettuce,Claytonia perfoliata,Montiaceae,Vegetable,"Cfb,Csb",Easy,Small,Partial shade,Medium,7-14,40-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,15-30,20,North America,Cold-hardy salad green
Purslane,Portulaca oleracea,Portulacaceae,Vegetable,"Cfa,Csa,Aw",Easy,Small,Full sun,Low,7-10,40-50,Annual,Oct-Dec,May-Jul,10-20,30-45,North Africa/Middle East,Succulent salad green
New Zealand Spinach,Tetragonia tetragonioides,Aizoaceae,Vegetable,"Cfa,Csa,Csb",Easy,Medium,Full sun,Medium,10-21,50-70,Annual,Sep-Nov,Apr-Jun,30-60,60-90,Australia/New Zealand,Heat-tolerant spinach substitute
Amaranth,Amaranthus,Amaranthaceae,Vegetable,"Cfa,Csa,Aw",Easy,Medium,Full sun,Medium,7-10,60-90,Annual,Sep-Dec,Apr-Jul,100-200,45-60,Central America,Edible leaves and grain
Quinoa,Chenopodium quinoa,Amaranthaceae,Grain,"Cfb,BSk,Csb",Moderate,Medium,Full sun,Low,7-10,90-120,Annual,Sep-Nov,Apr-Jun,100-180,45,South America,High-protein Andean grain
Sorghum,Sorghum bicolor,Poaceae,Grain,"Cfa,Csa,Aw,BSh",Moderate,Medium,Full sun,Low,7-10,100-130,Annual,Oct-Dec,May-Jun,100-300,30-45,Africa,Drought-tolerant grain
Millet,Panicum miliaceum,Poaceae,Grain,"Cfa,Csa,BSh,Aw",Easy,Medium,Full sun,Low,7-10,70-90,Annual,Oct-Dec,May-Jul,60-150,30,Asia,Fast-growing drought-tolerant grain
Sunflower,Helianthus annuus,Asteraceae,Grain,"Cfa,Cfb,Csa,Dfb",Easy,Medium,Full sun,Medium,7-14,80-120,Annual,Sep-Dec,Apr-Jul,150-300,45-60,North America,Oilseed and snack crop
Sesame,Sesamum indicum,Pedaliaceae,Grain,"Cfa,Csa,Aw",Moderate,Small,Full sun,Low,7-10,90-120,Annual,Oct-Nov,May-Jun,60-120,30,Africa,Ancient oilseed crop
Flax,Linum usitatissimum,Linaceae,Grain,"Cfb,Cfa,Dfb",Moderate,Low,Full sun,Medium,7-10,100-120,Annual,Mar-May/Aug-Oct,Mar-Jun,60-120,15,Middle East,Oilseed and fiber crop
Hemp,Cannabis sativa,Cannabaceae,Grain,"Cfa,Cfb,Dfb",Moderate,Large,Full sun,Medium,7-10,100-120,Annual,Sep-Nov,Apr-Jun,200-400,30-60,Central Asia,Seed oil and fiber crop
Chia,Salvia hispanica,Lamiaceae,Grain,"Cfa,Csa,BSh",Easy,Small,Full sun,Low,7-14,90-120,Annual,Sep-Nov,Apr-Jun,100-150,30,Central America,Omega-3 rich seed crop
Native Violet,Viola hederacea,Violaceae,Native Ground Cover,"Cfb,Cfa,Csa",Easy,Low,Partial shade,Medium,14-21,365,Perennial,Year-round,Year-round,5-10,30-60,Australia,Edible native groundcover
Warrigal Greens,Tetragonia tetragonioides,Aizoaceae,Native Vegetable,"Cfa,Csa,Csb,Cfb",Easy,Medium,Full sun,Low,10-21,60-90,Annual,Sep-Nov,Year-round,30-60,60-120,Australia/New Zealand,Salt-tolerant native spinach
Kangaroo Apple,Solanum aviculare,Solanaceae,Native Fruit,"Cfa,Cfb",Moderate,Large,Full sun,Medium,14-21,365-547,Perennial,Sep-Nov,Year-round,200-400,150-300,Australia/New Zealand,Fast-growing native fruit shrub
Muntries,Kunzea pomifera,Myrtaceae,Native Fruit,"Csa,Csb",Moderate,Low,Full sun,Low,30-90,730-1095,Perennial,Sep-Nov,Year-round,10-30,100-200,Australia,Ground-hugging native berry
Davidson's Plum,Davidsonia pruriens,Cunoniaceae,Native Fruit,"Cfa,Aw",Moderate,Large,Partial shade,Medium,30-90,1095-1460,Perennial,Sep-Nov,Year-round,500-1000,400-600,Australia,Rainforest understorey fruit tree
Finger Lime,Citrus australasica,Rutaceae,Native Fruit,"Cfa,Csa",Moderate,Large,Partial shade,Medium,14-28,1095-1460,Perennial,Aug-Oct,Year-round,200-600,200-400,Australia,Native citrus with caviar-like vesicles
Lilly Pilly,Syzygium,Myrtaceae,Native Fruit,"Cfa,Csa,Aw",Easy,Large,Full sun,Medium,14-28,1095-1460,Perennial,Sep-Nov,Year-round,300-1000,200-600,Australia,Versatile native shrub/tree with edible berries
Riberry,Syzygium luehmannii,Myrtaceae,Native Fruit,"Cfa,Aw",Moderate,Large,Full sun,Medium,21-30,1095-1460,Perennial,Sep-Nov,Year-round,1000-3000,600-1000,Australia,Tall native tree with tart berries
Native Raspberry,Rubus parvifolius,Rosaceae,Native Fruit,"Cfa,Cfb",Easy,Medium,Partial shade,Medium,14-21,365-547,Perennial,Sep-Nov,Year-round,100-150,100-150,Australia/Asia,Scrambling native berry
Quandong,Santalum acuminatum,Santalaceae,Native Fruit,"Csa,BSk,BSh",Hard,Large,Full sun,Low,60-180,1825-3650,Perennial,Jun-Aug,Year-round,300-700,300-600,Australia,Desert native with tart fruit
Kakadu Plum,Terminalia ferdinandiana,Combretaceae,Native Fruit,"Aw",Hard,Large,Full sun,Medium,30-90,1825-3650,Perennial,Sep-Nov,Year-round,400-1000,400-800,Australia,World's highest vitamin C fruit
Bush Tomato,Solanum centrale,Solanaceae,Native Fruit,"BSh,BWh",Moderate,Small,Full sun,Low,14-21,120-180,Perennial,Sep-Nov,Year-round,30-100,60-100,Australia,Desert native with intense flavor
Lemon Myrtle,Backhousia citriodora,Myrtaceae,Native Herb,"Cfa,Csa,Aw",Moderate,Large,Partial shade,Medium,14-28,1095-1460,Perennial,Sep-Nov,Year-round,500-2000,300-800,Australia,Intensely lemon-scented native
Aniseed Myrtle,Syzygium anisatum,Myrtaceae,Native Herb,"Cfa,Aw",Moderate,Large,Partial shade,Medium,21-30,1095-1460,Perennial,Sep-Nov,Year-round,500-1500,400-600,Australia,Anise-flavored rainforest tree
Native Ginger,Alpinia caerulea,Zingiberaceae,Native Herb,"Cfa,Aw",Moderate,Medium,Partial shade,High,14-21,365-547,Perennial,Sep-Nov,Year-round,100-300,100-200,Australia,Edible fruit and rhizome
Wattleseed,Acacia victoriae,Fabaceae,Native Grain,"BSh,BWh,Csa",Moderate,Large,Full sun,Low,30-90,1095-1460,Perennial,Aug-Oct,Year-round,300-600,300-500,Australia,Nitrogen-fixing native with edible seeds
Native Tamarind,Diploglottis australis,Sapindaceae,Native Fruit,"Cfa,Aw",Moderate,Very large,Partial shade,Medium,30-60,1825-3650,Perennial,Sep-Nov,Year-round,1500-3500,1000-1500,Australia,Large rainforest tree with tart fruit
Bunya Pine,Araucaria bidwillii,Araucariaceae,Native Nut,"Cfa,Csa",Hard,Very large,Full sun,Medium,60-180,5475-7300,Perennial,Aug-Oct,Year-round,3000-5000,2000-3000,Australia,Ancient conifer with large edible nuts
Sea Celery,Apium prostratum,Apiaceae,Native Herb,"Csa,Csb,Cfb",Easy,Small,Partial shade,Medium,14-21,60-90,Perennial,Year-round,Year-round,10-30,30-60,Australia,Coastal native with celery flavor
Bower Spinach,Tetragonia implexicoma,Aizoaceae,Native Vegetable,"Csa,Csb,Cfb",Easy,Medium,Partial shade,Low,10-21,60-90,Perennial,Year-round,Year-round,30-100,60-120,Australia,Spreading native spinach
Pigface,Carpobrotus glaucescens,Aizoaceae,Native Fruit,"Csa,Csb,Cfa",Easy,Low,Full sun,Low,14-21,365-547,Perennial,Year-round,Year-round,10-20,100-300,Australia,Succulent coastal groundcover with edible fruit
Midyim Berry,Austromyrtus dulcis,Myrtaceae,Native Fruit,"Cfa,Csa",Moderate,Medium,Partial shade,Medium,21-30,1095-1460,Perennial,Sep-Nov,Year-round,100-200,100-150,Australia,Compact native shrub with sweet berries
Native Mint,Mentha australis,Lamiaceae,Native Herb,"Cfb,Cfa",Easy,Small,Partial shade,High,10-15,60-90,Perennial,Year-round,Year-round,20-60,30-60,Australia,Australian mint species
Blue Flax Lily,Dianella caerulea,Xanthorrhoeaceae,Native Fruit,"Cfa,Csa,Cfb",Easy,Medium,Partial shade,Low,30-90,730-1095,Perennial,Year-round,Year-round,60-100,45,Australia,Strappy-leaved native with edible berries
Saltbush,Atriplex,Amaranthaceae,Native Vegetable,"Csa,BSh,BWh",Easy,Medium,Full sun,Low,7-14,60-90,Perennial,Year-round,Year-round,30-200,60-300,Australia,Salt-tolerant native edible
Samphire,Tecticornia,Amaranthaceae,Native Vegetable,"Csa,BSh",Moderate,Small,Full sun,Low,14-21,90-120,Perennial,Year-round,Year-round,10-50,30-60,Australia,Succulent coastal native vegetable
Kurrajong,Brachychiton populneus,Malvaceae,Native Tree,"Cfa,Csa,BSh",Moderate,Very large,Full sun,Low,14-28,1825-3650,Perennial,Sep-Nov,Year-round,1000-2000,600-1000,Australia,Drought-tolerant native with edible seeds
Native Cherry,Exocarpos cupressiformis,Santalaceae,Native Fruit,"Cfa,Csa,Csb,Cfb",Moderate,Large,Full sun,Low,30-90,1825-3650,Perennial,Aug-Oct,Year-round,300-1000,300-600,Australia,Small native tree with sweet fruit
Snow Pea,Pisum sativum,Fabaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Full sun,Medium,7-14,60-70,Annual,Mar-May/Aug-Sep,Mar-May/Aug-Sep,60-180,30,Mediterranean,Edible-pod pea variety
Sugar Snap Pea,Pisum sativum,Fabaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Full sun,Medium,7-14,60-70,Annual,Mar-May/Aug-Sep,Mar-May/Aug-Sep,60-180,30,Mediterranean,Sweet edible-pod pea
Broad Bean,Vicia faba,Fabaceae,Vegetable,"Cfb,Dfb,Cfa,Csa",Easy,Medium,Full sun,Medium,7-14,90-120,Annual,Mar-Jun,Mar-Jun/Aug-Oct,90-150,45,Mediterranean,Cool-season nitrogen-fixing legume
Runner Bean,Phaseolus coccineus,Fabaceae,Vegetable,"Cfb,Cfa",Easy,Small,Full sun,Medium,7-14,60-90,Annual,Sep-Nov,Apr-Jun,200-400,30,Central America,Ornamental climbing bean
Lima Bean,Phaseolus lunatus,Fabaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,7-14,70-90,Annual,Oct-Nov,May-Jun,30-300,45,Central America,Heat-loving bush or pole bean
Soybean,Glycine max,Fabaceae,Vegetable,"Cfa,Cwa,Dfb",Moderate,Small,Full sun,Medium,7-10,90-120,Annual,Oct-Nov,May-Jun,60-120,30,East Asia,Nitrogen-fixing edible bean
Chickpea,Cicer arietinum,Fabaceae,Vegetable,"Cfa,Csa,BSh",Moderate,Small,Full sun,Low,7-10,100-120,Annual,Apr-Jun,Apr-Jun,30-60,30,Middle East,Drought-tolerant pulse crop
Lentil,Lens culinaris,Fabaceae,Vegetable,"Cfa,Csa,BSh,Dfb",Moderate,Small,Full sun,Low,7-10,100-110,Annual,Apr-Jun,Apr-Jun,30-45,15,Middle East,Cool-season pulse crop
Peanut,Arachis hypogaea,Fabaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,10-14,120-150,Annual,Oct-Nov,May-Jun,30-60,30,South America,Underground legume requiring warm soil
Edamame,Glycine max,Fabaceae,Vegetable,"Cfa,Dfb",Moderate,Small,Full sun,Medium,7-10,75-90,Annual,Oct-Nov,May-Jun,60-90,30,East Asia,Immature soybean harvested green
Kohlrabi,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Full sun,Medium,7-10,55-70,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,25-30,30,Europe,Swollen stem brassica
Turnip,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Full sun,Medium,7-10,50-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30,20,Europe,Fast-growing cool-season root
Rutabaga,Brassica napus,Brassicaceae,Vegetable,"Cfb,Dfb",Easy,Small,Full sun,Medium,7-10,90-100,Annual,Feb-Apr/Jul-Aug,Mar-May/Jul-Aug,40,25,Scandinavia,Large yellow-fleshed root
Celeriac,Apium graveolens,Apiaceae,Vegetable,"Cfb,Cfa,Dfb",Moderate,Small,Full sun,High,14-21,110-120,Annual,Feb-Apr,Feb-Apr,30,25,Mediterranean,Celery root variety
Celery,Apium graveolens,Apiaceae,Vegetable,"Cfb,Cfa,Dfb",Moderate,Small,Partial shade,High,14-21,100-130,Annual,Feb-May/Aug-Oct,Mar-Jun,60-75,30,Mediterranean,Cool-season stalk vegetable
Parsnip,Pastinaca sativa,Apiaceae,Vegetable,"Cfb,Dfb,Cfa",Moderate,Small,Full sun,Medium,14-21,120-180,Annual,Mar-Jun,Mar-Jun,40,20,Europe,Sweet root improved by frost
Salsify,Tragopogon porrifolius,Asteraceae,Vegetable,"Cfb,Cfa,Dfb",Moderate,Small,Full sun,Medium,10-21,120-150,Biennial,Mar-May,Mar-May,100,10,Mediterranean,Oyster-flavored root vegetable
Scorzonera,Scorzonera hispanica,Asteraceae,Vegetable,"Cfb,Cfa,Dfb",Moderate,Small,Full sun,Medium,14-21,120-150,Perennial,Mar-May,Mar-May,100,10,Europe,Black-skinned root vegetable
Okra,Abelmoschus esculentus,Malvaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,7-14,50-65,Annual,Oct-Dec,May-Jul,100-200,45-60,Africa,Heat-loving pod vegetable
Tomatillo,Physalis philadelphica,Solanaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,7-14,75-100,Annual,Oct-Nov,May-Jun,90-150,75-100,Central America,Tart green fruit in husk
Ground Cherry,Physalis pruinosa,Solanaceae,Vegetable,"Cfa,Csa",Moderate,Medium,Full sun,Medium,7-14,70-90,Annual,Oct-Nov,May-Jun,45-90,60-90,Americas,Sweet golden berries in papery husks
Water Spinach,Ipomoea aquatica,Convolvulaceae,Vegetable,"Aw,Am,Cfa",Easy,Medium,Full sun,Very high,7-10,40-60,Annual,Oct-Jan,May-Aug,15-30,30-60,Southeast Asia,Aquatic or semi-aquatic leafy green
Taro,Colocasia esculenta,Araceae,Vegetable,"Aw,Am,Cfa",Moderate,Large,Partial shade,Very high,14-21,180-365,Perennial,Oct-Dec,May-Jul,100-150,60-100,Southeast Asia,Tropical root crop requiring wet conditions
Yam,Dioscorea,Dioscoreaceae,Vegetable,"Aw,Am,Cfa",Moderate,Large,Partial shade,Medium,14-21,180-365,Perennial,Oct-Dec,May-Jul,200-600,100-200,Africa/Asia,Climbing tropical tuber crop
Cassava,Manihot esculenta,Euphorbiaceae,Vegetable,"Aw,Am,BSh",Moderate,Large,Full sun,Low,14-21,365-547,Perennial,Oct-Dec,Year-round,100-300,100-150,South America,Drought-tolerant tropical root staple
Arrowroot,Maranta arundinacea,Marantaceae,Vegetable,"Aw,Am,Cfa",Moderate,Medium,Partial shade,High,21-30,240-365,Perennial,Oct-Dec,May-Jul,60-120,60-90,South America,Tropical rhizome for starch
Galangal,Alpinia galanga,Zingiberaceae,Herb,"Aw,Am,Cfa",Moderate,Medium,Partial shade,High,14-21,240-300,Perennial,Sep-Nov,Mar-May,100-200,60-100,Southeast Asia,Aromatic tropical rhizome
Cardamom,Elettaria cardamomum,Zingiberaceae,Herb,"Aw,Am",Hard,Medium,Partial shade,High,21-30,730-1095,Perennial,Year-round,Year-round,200-400,100-200,India,Tropical spice requiring humid conditions
Vanilla,Vanilla planifolia,Orchidaceae,Herb,"Aw,Am",Hard,Large,Partial shade,High,30-60,1095-1460,Perennial,Year-round,Year-round,1000-3000,100-200,Central America,Climbing orchid producing spice pods
Black Pepper,Piper nigrum,Piperaceae,Herb,"Aw,Am",Hard,Large,Partial shade,High,21-30,1095-1460,Perennial,Year-round,Year-round,300-1000,100-300,India,Tropical climbing vine spice
Cinnamon,Cinnamomum verum,Lauraceae,Herb,"Aw,Am",Hard,Large,Partial shade,High,30-90,1825-3650,Perennial,Year-round,Year-round,1000-2000,500-1000,Sri Lanka,Tropical tree with aromatic bark
Clove,Syzygium aromaticum,Myrtaceae,Herb,"Aw,Am",Hard,Very large,Full sun,High,30-60,1825-3650,Perennial,Year-round,Year-round,1000-2000,600-1000,Indonesia,Tropical tree with aromatic flower buds
Nutmeg,Myristica fragrans,Myristicaceae,Herb,"Aw,Am",Hard,Very large,Partial shade,High,30-90,2555-3650,Perennial,Year-round,Year-round,1500-2000,800-1200,Indonesia,Tropical tree producing two spices
Allspice,Pimenta dioica,Myrtaceae,Herb,"Aw,Am",Hard,Very large,Full sun,Medium,30-90,2190-3650,Perennial,Year-round,Year-round,1000-1500,600-900,Caribbean,Tropical tree with aromatic berries
Star Anise,Illicium verum,Schisandraceae,Herb,"Cfa,Aw",Hard,Large,Partial shade,Medium,30-90,2190-3650,Perennial,Sep-Nov,Year-round,500-1500,400-800,China,Evergreen tree with star-shaped fruit
Horseradish,Armoracia rusticana,Brassicaceae,Herb,"Cfb,Dfb,Cfa",Easy,Medium,Full sun,Medium,14-21,150-200,Perennial,Mar-May,Mar-May,60-90,45-60,Europe,Pungent root condiment
Wasabi,Eutrema japonicum,Brassicaceae,Herb,"Cfb,Cfa",Hard,Small,Partial shade,Very high,21-30,365-547,Perennial,Year-round,Year-round,30-60,30,Japan,Cool-climate aquatic rhizome
Shiso,Perilla frutescens,Lamiaceae,Herb,"Cfa,Cfb,Csa",Easy,Small,Full sun,Medium,7-14,60-90,Annual,Sep-Nov,Apr-Jun,60-100,45,East Asia,Aromatic culinary herb
Vietnamese Mint,Persicaria odorata,Polygonaceae,Herb,"Aw,Cfa,Am",Easy,Small,Partial shade,High,7-14,50-70,Perennial,Sep-Dec,Mar-Sep,20-40,30-60,Southeast Asia,Tropical mint-like herb
Thai Basil,Ocimum basilicum,Lamiaceae,Herb,"Cfa,Csa,Aw",Easy,Small,Full sun,Medium,7-10,60-90,Annual,Oct-Nov,May-Jun,40-60,30,Southeast Asia,Anise-flavored basil variety
Holy Basil,Ocimum tenuiflorum,Lamiaceae,Herb,"Aw,Cfa",Moderate,Small,Full sun,Medium,7-14,60-90,Annual,Oct-Nov,May-Jun,30-60,30,India,Sacred culinary and medicinal herb
Lemon Verbena,Aloysia citrodora,Verbenaceae,Herb,"Cfa,Csa",Moderate,Large,Full sun,Medium,14-28,90-120,Perennial,Sep-Nov,Apr-Jun,200-300,150-200,South America,Intensely lemon-scented herb
Epazote,Dysphania ambrosioides,Amaranthaceae,Herb,"Cfa,Csa,Aw",Easy,Medium,Full sun,Low,7-14,60-90,Annual,Sep-Nov,Apr-Jun,60-120,45,Central America,Pungent Mexican culinary herb
Culantro,Eryngium foetidum,Apiaceae,Herb,"Aw,Am,Cfa",Moderate,Small,Partial shade,Medium,14-21,90-120,Biennial,Oct-Dec,May-Jul,20-40,20,Caribbean,Pungent coriander relative
Mexican Oregano,Lippia graveolens,Verbenaceae,Herb,"Cfa,Csa,BSh",Moderate,Large,Full sun,Low,14-28,365-547,Perennial,Sep-Nov,Apr-Jun,150-300,100-200,Central America,Drought-tolerant oregano relative
Lovage,Levisticum officinale,Apiaceae,Herb,"Cfb,Dfb,Cfa",Easy,Large,Full sun,Medium,14-21,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun,150-200,60,Mediterranean,Tall celery-flavored perennial
Angelica,Angelica archangelica,Apiaceae,Herb,"Cfb,Dfb",Moderate,Large,Partial shade,Medium,21-28,365-730,Biennial,Aug-Oct,Aug-Oct,150-250,90,Europe,Architectural aromatic biennial
Hyssop,Hyssopus officinalis,Lamiaceae,Herb,"Cfa,Csa,Csb",Easy,Medium,Full sun,Low,14-21,90-120,Perennial,Sep-Nov,Apr-Jun,60-90,45,Mediterranean,Aromatic medicinal herb
Winter Savory,Satureja montana,Lamiaceae,Herb,"Cfa,Csa,Csb",Easy,Small,Full sun,Low,10-14,90,Perennial,Sep-Nov,Apr-Jun,30-40,30,Mediterranean,Compact peppery herb
Summer Savory,Satureja hortensis,Lamiaceae,Herb,"Cfa,Csa",Easy,Small,Full sun,Low,10-14,70,Annual,Sep-Nov,Apr-Jun,30-45,20,Mediterranean,Peppery culinary annual
Caraway,Carum carvi,Apiaceae,Herb,"Cfb,Dfb,Cfa",Easy,Small,Full sun,Medium,14-21,120-150,Biennial,Mar-May/Aug-Oct,Mar-Jun,60-75,25,Europe,Aromatic seed spice
Cumin,Cuminum cyminum,Apiaceae,Herb,"Csa,BSh,Aw",Moderate,Small,Full sun,Low,7-14,120-150,Annual,Mar-May/Sep-Oct,Apr-Jun,30-50,15,Middle East,Warm-climate seed spice
Anise,Pimpinella anisum,Apiaceae,Herb,"Cfa,Csa",Easy,Small,Full sun,Medium,14-21,120-130,Annual,Sep-Nov,Apr-Jun,45-60,20,Mediterranean,Licorice-flavored seed spice
Nigella,Nigella sativa,Ranunculaceae,Herb,"Cfa,Csa,BSh",Easy,Small,Full sun,Low,14-21,120-140,Annual,Mar-May/Sep-Oct,Mar-Jun,30-60,20,Mediterranean,Black seed spice and ornamental
Wormwood,Artemisia absinthium,Asteraceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Medium,Full sun,Low,14-21,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-120,60,Europe,Bitter aromatic herb for absinthe
Rue,Ruta graveolens,Rutaceae,Herb,"Cfa,Csa,Csb",Moderate,Small,Full sun,Low,14-28,90-120,Perennial,Sep-Nov,Apr-Jun,60-90,45,Mediterranean,Bitter medicinal herb (handle with care)
Tansy,Tanacetum vulgare,Asteraceae,Herb,"Cfb,Dfb,Cfa",Easy,Medium,Full sun,Low,14-21,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun,90-150,60,Europe,Aromatic pest-deterrent herb
Valerian,Valeriana officinalis,Caprifoliaceae,Herb,"Cfb,Dfb,Cfa",Easy,Large,Partial shade,Medium,21-28,365-730,Perennial,Mar-May/Aug-Oct,Mar-Jun,100-150,60,Europe/Asia,Medicinal root herb
Echinacea,Echinacea purpurea,Asteraceae,Herb,"Cfb,Cfa,Dfb",Easy,Medium,Full sun,Low,14-28,365-730,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-120,45,North America,Immune-supporting medicinal flower
Calendula,Calendula officinalis,Asteraceae,Herb,"Cfb,Cfa,Csa",Easy,Small,Full sun,Low,7-14,60-90,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,30,Mediterranean,Edible medicinal marigold
St John's Wort,Hypericum perforatum,Hypericaceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Medium,Full sun,Low,14-28,365-730,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-90,30,Europe,Medicinal herb with yellow flowers
Yarrow,Achillea millefolium,Asteraceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Medium,Full sun,Low,14-21,365-730,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-90,45,Europe/Asia/North America,Medicinal herb and dynamic accumulator
Marshmallow,Althaea officinalis,Malvaceae,Herb,"Cfb,Cfa,Dfb",Easy,Large,Full sun,High,14-21,365-730,Perennial,Mar-May/Aug-Oct,Mar-Jun,100-150,60,Europe,Medicinal root and leaf herb
Mullein,Verbascum thapsus,Scrophulariaceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Large,Full sun,Low,14-21,365-730,Biennial,Mar-May/Aug-Oct,Mar-Jun,150-200,60,Europe/Asia,Tall medicinal herb
Evening Primrose,Oenothera biennis,Onagraceae,Herb,"Cfb,Cfa,Dfb",Easy,Medium,Full sun,Low,14-21,365-730,Biennial,Mar-May/Aug-Oct,Mar-Jun,100-150,45,North America,Medicinal oil seed plant
Dandelion,Taraxacum officinale,Asteraceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Small,Full sun,Low,7-14,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,15-40,20,Europe,Edible and medicinal weed
Chicory,Cichorium intybus,Asteraceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Medium,Full sun,Low,7-14,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun,90-150,30,Europe,Bitter salad green and coffee substitute
Radicchio,Cichorium intybus,Asteraceae,Vegetable,"Cfb,Cfa,Dfb",Moderate,Small,Full sun,Medium,7-14,80-100,Annual,Feb-Apr/Aug-Sep,Mar-May/Jul-Aug,20-30,25,Mediterranean,Bitter heading chicory
Endive,Cichorium endivia,Asteraceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-14,70-90,Annual,Feb-Apr/Aug-Oct,Mar-May/Jul-Sep,30-40,35,Mediterranean,Frilly bitter salad green
Escarole,Cichorium endivia,Asteraceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-14,80-100,Annual,Feb-Apr/Aug-Oct,Mar-May/Jul-Sep,30-40,35,Mediterranean,Broad-leaved bitter green
Mache,Valerianella locusta,Caprifoliaceae,Vegetable,"Cfb,Dfb",Easy,Small,Partial shade,Medium,10-14,50-60,Annual,Feb-Apr/Aug-Oct,Mar-May/Aug-Sep,10-20,15,Europe,Cold-hardy salad green
Claytonia,Claytonia perfoliata,Montiaceae,Vegetable,"Cfb,Csb",Easy,Small,Partial shade,Medium,7-14,40-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,15-30,20,North America,Winter salad green
Land Cress,Barbarea verna,Brassicaceae,Vegetable,"Cfb,Dfb",Easy,Small,Partial shade,Medium,7-14,50-60,Biennial,Feb-Apr/Aug-Oct,Mar-May/Aug-Sep,20-30,25,Europe,Peppery cold-hardy green
Mizuna,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,40-50,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-40,30,Japan,Mild frilly Asian green
Mibuna,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,40-50,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-40,25,Japan,Smooth-leaved Asian green
Tatsoi,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,45-50,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,20-30,30,China,Spoon-shaped Asian green
Bok Choy,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,45-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-45,25,China,White-stemmed Asian green
Choy Sum,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa",Easy,Small,Full sun,Medium,7-10,50-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-45,20,China,Flowering Asian green
Gai Lan,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Cfa",Easy,Small,Full sun,Medium,7-10,60-70,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,45-60,30,China,Chinese broccoli
Komatsuna,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,35-40,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-45,25,Japan,Spinach mustard hybrid
